type,bank,distance,amount,min,medium,time,label
PERSON,EXAMPLE BANK,10,673000,30760,MOBILE,2023-01-02T05:19:10Z,Clean
PERSON,ACCESS BANK,10,1429000,450,WEB,2023-01-02T06:07:20Z,Clean
PERSON,EXAMPLE BANK,12,49000,11970,MOBILE,2023-01-02T06:09:10Z,Clean
PERSON,ACCESS BANK,28,67000,42280,MOBILE,2023-01-02T06:21:11Z,Clean
PERSON,GTB,11,240000,29030,MOBILE,2023-01-02T07:08:03Z,Clean
PERSON,FINTECH BANKS,7,242000,28390,MOBILE,2023-01-02T07:16:11Z,Clean
PERSON,STERLING BANK,3,17000,360,MOBILE,2023-01-02T07:17:06Z,Clean
PERSON,UBA,23,108000,1170,MOBILE,2023-01-02T07:22:20Z,Clean
PERSON,FIRST BANK,5,6000,1390,MOBILE,2023-01-02T07:23:19Z,Clean
BUSINESS,ACCESS BANK,2,70000,77680,MOBILE,2023-01-02T08:02:11Z,Clean
PERSON,EXAMPLE BANK,4,15000,13450,MOBILE,2023-01-02T08:11:14Z,Clean
BUSINESS,FINTECH BANKS,22,11000,48690,MOBILE,2023-01-02T08:16:06Z,Clean
BUSINESS,FIRST BANK,545,3000,9,MOBILE,2023-01-02T08:23:21Z,Fraud
PERSON,FINTECH BANKS,167,48000,960,MOBILE,2023-01-02T09:03:17Z,Fraud
PERSON,FIRST BANK,9,17000,13460,WEB,2023-01-02T11:04:01Z,Clean
MERCHANT,FINTECH BANKS,17,51000,28980,MOBILE,2023-01-02T11:11:02Z,Clean
PERSON,FINTECH BANKS,49,31000,890,MOBILE,2023-01-02T11:12:04Z,Clean
PERSON,ACCESS BANK,15,220000,830,WEB,2023-01-02T11:22:03Z,Clean
PERSON,ACCESS BANK,3,15000,42860,MOBILE,2023-01-02T12:02:10Z,Clean
PERSON,FINTECH BANKS,7,14000,85300,MOBILE,2023-01-02T12:10:17Z,Clean
PERSON,FIRST BANK,8,45000,1200,MOBILE,2023-01-02T12:19:19Z,Clean
PERSON,GTB,13,1215000,45060,MOBILE,2023-01-02T12:19:21Z,Clean
MERCHANT,ECOBANK,18,242000,7500,MOBILE,2023-01-02T12:20:11Z,Clean
PERSON,UBA,1,49000,6090,MOBILE,2023-01-02T13:05:16Z,Clean
PERSON,FIRST BANK,7,11000,13590,MOBILE,2023-01-02T13:07:01Z,Clean
PERSON,FIDELITY BANK,1,79000,29170,MOBILE,2023-01-02T13:11:14Z,Clean
MERCHANT,FIDELITY BANK,8,53000,7920,MOBILE,2023-01-02T14:00:03Z,Clean
MERCHANT,FIDELITY BANK,40,19000,10080,WEB,2023-01-02T14:01:11Z,Clean
PERSON,GTB,28,31000,13750,MOBILE,2023-01-02T15:03:12Z,Clean
PERSON,OTHER_TIER1_BANKS,4,208000,14090,MOBILE,2023-01-02T15:06:05Z,Clean
MERCHANT,FINTECH BANKS,89,13000,390,MOBILE,2023-01-02T15:10:21Z,Fraud
MERCHANT,ECOBANK,274,56000,330,WEB,2023-01-02T15:12:19Z,Clean
PERSON,FIDELITY BANK,16,6000,880,MOBILE,2023-01-02T15:22:21Z,Clean
MERCHANT,ECOBANK,4,52000,6180,IN-BRANCH,2023-01-02T16:09:12Z,Clean
PERSON,FIDELITY BANK,17,69000,13170,MOBILE,2023-01-02T16:10:16Z,Clean
PERSON,ECOBANK,6,69000,42450,MOBILE,2023-01-02T16:11:19Z,Clean
MERCHANT,ACCESS BANK,22,7000,64700,MOBILE,2023-01-02T16:12:14Z,Clean
BUSINESS,GTB,24,19000,74240,MOBILE,2023-01-02T17:12:16Z,Clean
PERSON,UBA,7,58000,9480,MOBILE,2023-01-02T17:12:22Z,Clean
PERSON,OTHER_TIER1_BANKS,7,11000,20,MOBILE,2023-01-02T17:18:14Z,Clean
PERSON,FIRST BANK,3,37000,13470,MOBILE,2023-01-02T18:03:17Z,Clean
MERCHANT,STERLING BANK,9,13000,80,WEB,2023-01-02T18:08:09Z,Clean
PERSON,ECOBANK,11,40000,41140,MOBILE,2023-01-02T18:13:14Z,Clean
PERSON,ACCESS BANK,10,2000,1360,WEB,2023-01-02T19:06:10Z,Clean
MERCHANT,FINTECH BANKS,13,218000,40690,MOBILE,2023-01-02T19:13:09Z,Clean
PERSON,GTB,7,8000,68050,MOBILE,2023-01-02T19:14:23Z,Clean
PERSON,FIRST BANK,18,45000,20250,MOBILE,2023-01-02T20:00:06Z,Clean
PERSON,OTHER_TIER1_BANKS,3,231000,14630,IN-BRANCH,2023-01-02T20:05:17Z,Clean
PERSON,FIRST BANK,4,19000,78520,MOBILE,2023-01-02T20:08:10Z,Clean
PERSON,FIDELITY BANK,23,71000,34940,MOBILE,2023-01-02T20:18:17Z,Clean
PERSON,FINTECH BANKS,14,254000,77220,MOBILE,2023-01-02T20:23:14Z,Clean
PERSON,GTB,21,5000,29520,MOBILE,2023-01-02T21:03:17Z,Clean
PERSON,GTB,17,33000,86880,MOBILE,2023-01-02T21:13:23Z,Clean
PERSON,UBA,1,82000,300,MOBILE,2023-01-02T21:18:22Z,Clean
PERSON,EXAMPLE BANK,22,216000,14610,WEB,2023-01-02T21:19:13Z,Clean
PERSON,FIRST BANK,7,64000,37050,MOBILE,2023-01-02T21:23:01Z,Clean
PERSON,FIRST BANK,0,72000,75780,MOBILE,2023-01-02T22:05:09Z,Clean
PERSON,GTB,23,32000,65000,WEB,2023-01-02T22:21:08Z,Clean
PERSON,ACCESS BANK,32,207000,59000,IN-BRANCH,2023-01-02T22:23:05Z,Clean
PERSON,FIRST BANK,29,65000,11770,MOBILE,2023-01-02T23:06:05Z,Clean
BUSINESS,FINTECH BANKS,1,2000,2220,MOBILE,2023-01-02T23:09:11Z,Clean
PERSON,EXAMPLE BANK,4,50000,970,MOBILE,2023-01-02T23:10:09Z,Clean
PERSON,FIRST BANK,11,2000,300,MOBILE,2023-01-02T23:12:05Z,Clean
PERSON,OTHER_TIER1_BANKS,6,8000,14810,WEB,2023-01-02T23:16:11Z,Clean
PERSON,FIRST BANK,14,2000,9,MOBILE,2023-01-02T23:17:04Z,Clean
PERSON,FIRST BANK,6,52000,73710,MOBILE,2023-01-02T23:18:00Z,Clean
PERSON,FINTECH BANKS,10,243000,59730,MOBILE,2023-01-02T23:18:13Z,Clean
PERSON,ACCESS BANK,16,40000,14750,MOBILE,2023-01-03T00:02:11Z,Clean
PERSON,ACCESS BANK,14,9000,12270,WEB,2023-01-03T00:07:17Z,Clean
PERSON,ACCESS BANK,6,69000,83100,WEB,2023-01-03T00:09:09Z,Clean
PERSON,ACCESS BANK,3,98000,12690,MOBILE,2023-01-03T00:13:17Z,Clean
PERSON,ACCESS BANK,21,47000,800,MOBILE,2023-01-03T00:14:07Z,Clean
PERSON,FINTECH BANKS,11,17000,21100,MOBILE,2023-01-03T00:16:22Z,Clean
PERSON,FIDELITY BANK,6,14000,49870,WEB,2023-01-03T00:17:15Z,Clean
PERSON,GTB,14,56000,75040,MOBILE,2023-01-03T01:03:10Z,Clean
PERSON,GTB,5,72000,6220,WEB,2023-01-03T01:04:03Z,Clean
PERSON,ECOBANK,24,13000,41050,MOBILE,2023-01-03T01:09:19Z,Clean
PERSON,FINTECH BANKS,7,151000,84860,WEB,2023-01-03T01:12:11Z,Clean
PERSON,GTB,6,44000,83860,MOBILE,2023-01-03T01:19:17Z,Clean
PERSON,GTB,5,8000,1900,WEB,2023-01-03T01:23:01Z,Clean
PERSON,FIRST BANK,4,44000,940,MOBILE,2023-01-03T02:00:13Z,Clean
PERSON,ACCESS BANK,6,300000,860,MOBILE,2023-01-03T02:03:00Z,Clean
PERSON,GTB,23,131000,62220,MOBILE,2023-01-03T02:09:01Z,Clean
MERCHANT,ECOBANK,27,46000,28580,MOBILE,2023-01-03T02:15:05Z,Clean
PERSON,FINTECH BANKS,9,50000,62100,MOBILE,2023-01-03T02:19:23Z,Clean
PERSON,FIRST BANK,10,41000,14960,MOBILE,2023-01-03T03:15:01Z,Clean
PERSON,UBA,10,240000,6870,MOBILE,2023-01-03T03:21:07Z,Clean
PERSON,FIDELITY BANK,6,8000,910,MOBILE,2023-01-03T04:07:06Z,Clean
PERSON,GTB,10,167000,9930,MOBILE,2023-01-03T04:13:04Z,Clean
PERSON,GTB,4,6000,84960,MOBILE,2023-01-03T04:16:18Z,Clean
PERSON,GTB,36,71000,1020,MOBILE,2023-01-03T05:00:06Z,Clean
PERSON,OTHER_TIER1_BANKS,5,171000,70070,MOBILE,2023-01-03T05:02:22Z,Clean
PERSON,ACCESS BANK,8,625000,76250,MOBILE,2023-01-03T05:04:22Z,Clean
PERSON,FIRST BANK,84,68000,13860,MOBILE,2023-01-03T05:12:15Z,Fraud
MERCHANT,OTHER_TIER1_BANKS,25,274000,9520,MOBILE,2023-01-03T05:12:20Z,Clean
PERSON,FINTECH BANKS,11,250000,14130,MOBILE,2023-01-03T05:15:19Z,Clean
PERSON,STERLING BANK,15,34000,7950,MOBILE,2023-01-03T05:19:18Z,Clean
PERSON,FIRST BANK,5,57000,81050,MOBILE,2023-01-03T06:16:16Z,Clean
PERSON,FIRST BANK,23,4000,39860,MOBILE,2023-01-03T07:05:20Z,Clean
PERSON,ACCESS BANK,8,129000,14150,MOBILE,2023-01-03T07:19:00Z,Clean
MERCHANT,FIRST BANK,233,19000,310,MOBILE,2023-01-03T08:07:09Z,Fraud
MERCHANT,ACCESS BANK,1,247000,7540,MOBILE,2023-01-03T08:10:18Z,Clean
PERSON,EXAMPLE BANK,9,5000,7020,MOBILE,2023-01-03T08:20:17Z,Clean
PERSON,FIDELITY BANK,12,134000,13760,MOBILE,2023-01-03T08:23:02Z,Clean
PERSON,UBA,9,66000,43970,WEB,2023-01-03T09:00:03Z,Clean
PERSON,FIDELITY BANK,37,136000,86420,MOBILE,2023-01-03T09:01:16Z,Clean
PERSON,FINTECH BANKS,13,10000,590,WEB,2023-01-03T09:13:06Z,Clean
BUSINESS,UBA,16,1000,69880,MOBILE,2023-01-03T09:16:06Z,Clean
PERSON,FIRST BANK,23,12000,1190,WEB,2023-01-03T09:19:00Z,Clean
PERSON,ECOBANK,14,283000,14060,MOBILE,2023-01-03T09:19:12Z,Clean
PERSON,FIRST BANK,3,13000,33960,MOBILE,2023-01-03T09:21:11Z,Clean
PERSON,ACCESS BANK,27,7000,82620,MOBILE,2023-01-03T09:23:09Z,Clean
PERSON,FIDELITY BANK,24,4000,73800,MOBILE,2023-01-03T10:06:20Z,Clean
PERSON,FIRST BANK,4,204000,13470,MOBILE,2023-01-03T10:10:21Z,Clean
BUSINESS,FINTECH BANKS,114,65000,60,MOBILE,2023-01-03T10:16:03Z,Fraud
PERSON,ECOBANK,7,100000,12650,MOBILE,2023-01-03T10:17:16Z,Clean
PERSON,FIRST BANK,423,66000,80,MOBILE,2023-01-03T10:22:16Z,Fraud
MERCHANT,STERLING BANK,294,79000,2520,MOBILE,2023-01-03T10:23:05Z,Fraud
PERSON,FIRST BANK,4,1077000,14650,MOBILE,2023-01-03T11:02:05Z,Clean
MERCHANT,FIRST BANK,1,75000,52360,MOBILE,2023-01-03T11:05:14Z,Clean
PERSON,EXAMPLE BANK,9,11000,65080,MOBILE,2023-01-03T11:08:13Z,Clean
PERSON,EXAMPLE BANK,7,14000,48340,MOBILE,2023-01-03T11:09:15Z,Clean
PERSON,EXAMPLE BANK,0,199000,75310,WEB,2023-01-03T11:12:05Z,Clean
PERSON,FIRST BANK,7,19000,12500,MOBILE,2023-01-03T11:13:10Z,Clean
PERSON,UBA,11,3000,10150,WEB,2023-01-03T11:15:23Z,Clean
PERSON,GTB,4,2000,10230,MOBILE,2023-01-03T12:13:20Z,Clean
BUSINESS,GTB,3,167000,66600,MOBILE,2023-01-03T12:15:10Z,Clean
PERSON,GTB,6,142000,84940,MOBILE,2023-01-03T12:15:16Z,Clean
PERSON,FIRST BANK,9,1527000,10010,MOBILE,2023-01-03T12:19:13Z,Clean
PERSON,GTB,3,59000,14950,MOBILE,2023-01-03T13:00:16Z,Clean
PERSON,FINTECH BANKS,11,46000,66840,WEB,2023-01-03T13:03:00Z,Clean
PERSON,FIRST BANK,10,9000,10210,MOBILE,2023-01-03T13:03:09Z,Clean
PERSON,FIRST BANK,9,15000,40020,MOBILE,2023-01-03T13:03:11Z,Clean
PERSON,ECOBANK,11,62000,25470,PHONE,2023-01-03T13:06:12Z,Clean
PERSON,FIRST BANK,6,19000,71790,MOBILE,2023-01-03T13:12:03Z,Clean
PERSON,ACCESS BANK,10,49000,8020,MOBILE,2023-01-03T13:19:12Z,Clean
PERSON,UBA,7,45000,56190,MOBILE,2023-01-03T13:19:23Z,Clean
PERSON,FIDELITY BANK,17,2000,12390,MOBILE,2023-01-03T13:23:04Z,Clean
PERSON,GTB,2,11000,12350,MOBILE,2023-01-03T14:05:13Z,Clean
PERSON,ECOBANK,10,1218000,51280,MOBILE,2023-01-03T14:14:00Z,Clean
PERSON,FINTECH BANKS,42,242000,61240,WEB,2023-01-03T14:15:04Z,Clean
MERCHANT,GTB,4,50000,720,MOBILE,2023-01-03T14:17:20Z,Clean
PERSON,EXAMPLE BANK,8,11000,21980,MOBILE,2023-01-03T14:18:18Z,Clean
PERSON,STERLING BANK,9,261000,630,MOBILE,2023-01-03T14:19:11Z,Clean
PERSON,ACCESS BANK,29,169000,6040,MOBILE,2023-01-03T14:21:21Z,Clean
PERSON,GTB,11,4000,47910,MOBILE,2023-01-03T14:22:02Z,Clean
MERCHANT,FIDELITY BANK,13,68000,3550,MOBILE,2023-01-03T15:19:16Z,Clean
PERSON,FIRST BANK,13,3000,47560,MOBILE,2023-01-03T15:21:18Z,Clean
PERSON,ACCESS BANK,26,20000,390,WEB,2023-01-03T17:03:00Z,Clean
BUSINESS,UBA,15,78000,14520,WEB,2023-01-03T17:03:08Z,Clean
PERSON,FIRST BANK,17,17000,7980,MOBILE,2023-01-03T17:09:13Z,Clean
PERSON,UBA,10,1487000,47170,MOBILE,2023-01-03T17:15:07Z,Clean
PERSON,ACCESS BANK,10,18000,600,MOBILE,2023-01-03T17:18:19Z,Clean
PERSON,FIRST BANK,4,81000,48510,MOBILE,2023-01-03T18:02:11Z,Clean
PERSON,FINTECH BANKS,14,12000,920,MOBILE,2023-01-03T18:04:05Z,Clean
PERSON,ACCESS BANK,7,79000,12510,WEB,2023-01-03T18:09:23Z,Clean
PERSON,EXAMPLE BANK,8,7000,3380,MOBILE,2023-01-03T18:10:12Z,Clean
PERSON,OTHER_TIER1_BANKS,4,6000,56380,MOBILE,2023-01-03T18:10:21Z,Clean
PERSON,GTB,15,78000,8180,MOBILE,2023-01-03T18:12:15Z,Clean
PERSON,FINTECH BANKS,45,15000,11300,MOBILE,2023-01-03T18:13:10Z,Clean
PERSON,FIRST BANK,25,167000,7980,MOBILE,2023-01-03T18:14:21Z,Clean
